﻿Part Cat Group,Part Cat Name
Bricks & Plates,Bricks
Bricks & Plates,Bricks Curved
Bricks & Plates,Bricks Round and Cones
Bricks & Plates,Bricks Sloped
Bricks & Plates,Bricks Special
Bricks & Plates,Bricks Wedged
Bricks & Plates,"Duplo, Quatro and Primo"
Bricks & Plates,Plates
Bricks & Plates,Plates Angled
Bricks & Plates,Plates Round and Dishes
Bricks & Plates,Plates Special
Clikits,Clikits
Figures,"Bionicle, Hero Factory and Constraction"
Figures,Minidoll Heads
Figures,Minidoll Lower Body
Figures,Minidoll Upper Body
Figures,Minifig Accessories
Figures,Minifig Heads
Figures,Minifig Headwear
Figures,Minifig Lower Body
Figures,Minifig Upper Body
Figures,Minifigs
Figures,Plants and Animals
HO Scale,HO Scale
Mechanical & Technic,"Hinges, Arms and Turntables"
Mechanical & Technic,Magnets and Holders
Mechanical & Technic,Mechanical
Mechanical & Technic,Pneumatics
Mechanical & Technic,"Power Functions, Mindstorms and Electric"
Mechanical & Technic,"Supports, Girders and Cranes"
Mechanical & Technic,Technic Axles
Mechanical & Technic,Technic Beams
Mechanical & Technic,Technic Beams Special
Mechanical & Technic,Technic Bricks
Mechanical & Technic,Technic Bushes
Mechanical & Technic,Technic Connectors
Mechanical & Technic,Technic Gears
Mechanical & Technic,Technic Panels
Mechanical & Technic,Technic Pins
Mechanical & Technic,Technic Special
Mechanical & Technic,"Technic Steering, Suspension and Engine"
Mechanical & Technic,Tubes and Hoses
Mechanical & Technic,Znap
"Non-Buildable Figures (Duplo, Fabuland, etc)","Non-Buildable Figures (Duplo, Fabuland, etc)"
Non-LEGO,Non-LEGO
Other,Other
Others,"Bars, Ladders and Fences"
Others,Baseplates
Others,"Belville, Scala and Fabuland"
Others,Containers
Others,"Flags, Signs, Plastics and Cloth"
Others,Rock
Others,"String, Bands and Reels"
Others,Tools
Panels & Tiles,Panels
Panels & Tiles,Tiles
Panels & Tiles,Tiles Round and Curved
Panels & Tiles,Tiles Special
Panels & Tiles,Windows and Doors
Transportation,Transportation - Land
Transportation,Transportation - Sea and Air
Transportation,Wheels and Tyres
Transportation,Windscreens and Fuselage